"indicativo","nombre","provincia","altitud","latitud","longitud","mu_smooth","sigma_smooth","xi_smooth","rl20_mean","rl20_sd","rl50_mean","rl50_sd","rl100_mean","rl100_sd"
"5891X","LAS CABEZAS DE SAN JUAN","SEVILLA",105,36.9533333333333,-5.84666666666667,44.9659474042776,12.7831224958021,0.0940713773714723,88.9175728478656,4.64759120299113,105.425948864258,5.83388362159956,118.783649798362,6.83383835910578
"5906X","CHIPIONA","CADIZ",10,36.75,-6.40055555555556,40.9942914571684,12.4144194025552,0.0941329806246866,83.7037021121046,4.88729163647204,99.7427783653501,6.09109453343475,112.721092610524,7.09677949402398
"5910","ROTA, BASE NAVAL","CADIZ",21,36.6388888888889,-6.3325,46.2620764439967,14.2681221222238,0.0941179662513933,95.2824942239836,4.50127881841628,113.698365692391,5.64430891277781,128.599616889805,6.60889740123074
"5911A","GRAZALEMA","CADIZ",913,36.7605555555556,-5.37416666666667,126.131691450012,35.990142333061,0.0937688271889223,249.833331511751,13.3276910176154,296.268679759846,16.7519294359147,333.831279785281,19.6169398255825
"5919X","OLVERA","CADIZ",530,36.9316666666667,-5.25944444444444,41.9580317741374,12.3074905524563,0.0943143663130704,84.3463012927763,5.32109420914292,100.270926778358,6.68084889656442,113.159160013724,7.81825651888247
"5941X","EL BOSQUE","CADIZ",295,36.7294444444444,-5.51222222222222,57.3293612070425,16.2712761788977,0.0940665478069583,113.29616322716,6.34934817017825,134.313804232774,7.92655884403194,151.320122799317,9.25101543266064
"5950X","SAN JOS<U+00C9> DEL VALLE","CADIZ",105,36.6638888888889,-5.78333333333333,48.6235131247607,14.1575205638779,0.0936495959272539,97.3178272625998,5.94252612328284,115.588444461664,7.43299307093989,130.367152164107,8.67846686491649
"5960","JEREZ DE LA FRONTERA AEROPUERTO","CADIZ",27,36.7505555555556,-6.05583333333333,49.8893773790592,14.5195796100137,0.0939239740428879,99.722298614097,3.76883148233355,118.442194989535,4.80581740097422,133.586869962963,5.68798008112043
"5972X","SAN FERNANDO","CADIZ",28,36.4655555555556,-6.20555555555556,42.448044545632,13.3733619334227,0.0939264559345735,88.4142691591946,4.80803629638241,105.673230155087,6.02657680943285,119.63606408704,7.04509424234899
"5973","C<U+00C1>DIZ","CADIZ",2,36.4997222222222,-6.25777777777778,47.8302410897536,14.9847499874418,0.0938656206794208,99.2569157064772,3.93588125119473,118.571499163811,4.99100886418669,134.196014891165,5.87884848494826
"5983X","MEDINA SIDONIA","CADIZ",70,36.4061111111111,-5.92027777777778,50.9547137913201,16.1008397583511,0.094077463721259,106.36952347499,6.67191691602635,127.176704421774,8.34925433281483,144.012593068717,9.74690284493705
"5995B","VEJER DE LA FRONTERA","CADIZ",186,36.2455555555556,-5.965,54.1643693927739,17.8054016527991,0.0939032240579649,115.400170285898,6.92147305414372,138.389306544461,8.7110327734084,156.987034929416,10.1894600308207
"5996B","BARBATE","CADIZ",4,36.1847222222222,-5.90944444444444,45.2498584230367,14.8931507515151,0.094000122329471,96.5684057479118,7.12908673659536,115.828136401724,8.91147197520004,131.411235358492,10.3880301586287
"5998X","OSUNA","SEVILLA",255,37.2433333333333,-5.1125,35.8055654272743,10.6214910672498,0.0940772904964954,72.3673884698349,4.47164299739391,86.0957180413808,5.59945180430914,97.2038087433708,6.53975311610467
"6001","TARIFA","CADIZ",32,36.0138888888889,-5.59888888888889,52.7490833699835,16.4802056688781,0.0938309203652766,109.326609299974,4.67293259301304,130.574967168783,5.97247095855794,147.763535732772,7.05957319117963
"6032X","RONDA INSTITUTO","MALAGA",760,36.75,-5.16861111111111,51.2309649529531,16.1984937220288,0.0941134594921701,107.053718774993,7.75268567087002,128.010275818457,9.6978755638474,144.968216109753,11.3157203542385
"6040X","CORTES DE LA FRONTERA","MALAGA",315,36.5444444444444,-5.38638888888889,70.146830098764,20.4738965692041,0.0938625946035155,140.56861909591,8.1677203345094,167.002064697722,10.2182134400901,188.385899595744,11.9218243743619
"6042I","JIMENA DE LA FRONTERA","CADIZ",42,36.4355555555556,-5.395,58.1025211459899,17.9538582603782,0.0936973270495869,119.857639546929,7.52679940165571,143.026755556535,9.37476172855593,161.767637728001,10.91257731784
"6045X","ALPANDEIRE","MALAGA",676,36.6325,-5.20305555555556,77.4538183079556,24.2691782384636,0.094394689533415,161.028178507925,10.258696011823,192.426566892222,12.8229752722418,217.839016535511,14.9619320817375
"6050X","GAUC<U+00CD>N","MALAGA",594,36.5186111111111,-5.31861111111111,69.2102008420715,21.0167031160434,0.0940295863262587,141.483116397303,7.97665730271115,168.622330440397,9.96314450419383,190.581008591871,11.6304475741913
"6056X","SAN ROQUE","CADIZ",1,36.2730555555556,-5.28444444444444,63.584296009466,20.8502850456249,0.093888782305423,135.39562132277,9.64196919788011,162.336637912929,11.9763030038835,184.131593679634,13.9058024189872
